ID;nom;adresse;commune;etat;type;geo;nbPlacesDispo;nbVelosDispo;etatConnexion;localisation;datemiseajour
57;BARTHELEMY DELESPAUL;FACE AU 52 RUE BARTHELEMY DELESPAUL;LILLE;EN SERVICE;AVEC TPE;50.62418,3.058902;11;7;CONNECTED;50.62418,3.058902;2022-06-20T22:30:13+02:00
77;MONT DE TERRE;7 RUE MATTEOTI;LILLE;EN SERVICE;AVEC TPE;50.62286,3.0914;0;18;CONNECTED;50.62286,3.0914;2022-06-20T22:30:13+02:00
23;RUE DES ARTS;41 RUE DES ARTS;LILLE;EN SERVICE;AVEC TPE;50.639107,3.065548;16;2;CONNECTED;50.639107,3.065548;2022-06-20T22:30:12+02:00
58;PORTE DE VALENCIENNES;BOULEVARD DE BELFORT;LILLE;EN SERVICE;AVEC TPE;50.62073,3.07895;18;2;CONNECTED;50.62073,3.07895;2022-06-20T22:30:13+02:00
4;MAISON FOLIE WAZEMMES;28 RUE DE L'HOPITAL SAINT ROCH;LILLE;EN SERVICE;AVEC TPE;50.624695,3.048961;12;8;CONNECTED;50.624695,3.048961;2022-06-20T22:30:12+02:00
48;PORTE DE DOUAI;PLACE FERNIG;LILLE;EN SERVICE;AVEC TPE;50.61843,3.07241;22;4;CONNECTED;50.61843,3.07241;2022-06-20T22:30:13+02:00
78;HOTEL DE POLICE;RUE DU FAUBOURG DES POSTES;LILLE;EN SERVICE;SANS TPE;50.615536,3.048518;15;3;CONNECTED;50.615536,3.048518;2022-06-20T22:30:13+02:00
70;CITE ADMINISTRATIVE;51 RUE DE TOURNAI;LILLE;EN SERVICE;AVEC TPE;50.63424,3.073991;16;0;CONNECTED;50.63424,3.073991;2022-06-20T22:30:13+02:00
5;MASSENA;73 RUE MASSENA;LILLE;EN SERVICE;AVEC TPE;50.63156,3.054738;13;19;CONNECTED;50.63156,3.054738;2022-06-20T22:30:12+02:00
81;GUINGUETTE;RUE JACQUARD;LILLE HELLEMMES;EN SERVICE;AVEC TPE;50.63529,3.115088;5;5;CONNECTED;50.63529,3.115088;2022-06-20T22:30:13+02:00
88;RUE NATIONALE;91 RUE NATIONALE;LILLE;EN SERVICE;AVEC TPE;50.635082,3.058015;29;1;CONNECTED;50.635082,3.058015;2022-06-20T22:30:13+02:00
14;CHAMP DE MARS;AVENUE LEON JOUHAUX;LILLE;EN SERVICE;AVEC TPE;50.6379088,3.0508558;18;22;CONNECTED;50.6379088,3.0508558;2022-06-20T22:30:12+02:00
82;GARE LILLE EUROPE;299 BOULEVARD DE LEEDS;LILLE;EN SERVICE;AVEC TPE;50.63999,3.075204;32;0;CONNECTED;50.63999,3.075204;2022-06-20T22:30:13+02:00
102;MAIRIE DE MONS;AVENUE ROBERT SCHUMAN;MONS EN BAROEUL;EN SERVICE;AVEC TPE;50.64218,3.109699;12;4;CONNECTED;50.64218,3.109699;2022-06-20T22:30:13+02:00
143;ROND POINT DE TOURNAI;55, RUE DES FUSILLÉS;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.61776,3.146026;0;0;CONNECTED;50.61776,3.146026;2019-08-30T08:05:05+02:00
84;MAIRIE D'HELLEMMES;165 RUE ROGER SALENGRO;LILLE HELLEMMES;EN SERVICE;AVEC TPE;50.627243,3.109266;16;8;CONNECTED;50.627243,3.109266;2022-06-20T22:30:13+02:00
104;MENDES FRANCE;BD NAPOLEON 1ER;MONS EN BAROEUL;EN SERVICE;SANS TPE;50.64584,3.112744;13;5;CONNECTED;50.64584,3.112744;2022-06-20T22:30:13+02:00
65;PLACE TACQ;70 RUE DE LOOS;LILLE;EN SERVICE;AVEC TPE;50.621128,3.035483;9;9;CONNECTED;50.621128,3.035483;2022-06-20T22:30:13+02:00
13;QUAI DU WAULT;17 SQUARE DUTILLEUL;LILLE;EN SERVICE;AVEC TPE;50.63671,3.054773;8;10;CONNECTED;50.63671,3.054773;2022-06-20T22:30:12+02:00
148;P.I. DE DOUAI;RUE DU FAUBOURG DE DOUAI SOUS LE PONT;LILLE;EN SERVICE;AVEC TPE;50.612194,3.074952;6;14;CONNECTED;50.612194,3.074952;2022-06-20T22:30:13+02:00
141;METRO TRIOLO;2 RUE TRAVERSIÈRE ANGLE ALLÉE TURGOT;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.61682,3.140808;14;10;CONNECTED;50.61682,3.140808;2022-06-20T22:30:13+02:00
44;GAMBETTA UTRECHT;199 RUE LEON GAMBETTA;LILLE;EN SERVICE;AVEC TPE;50.629063,3.053711;3;15;CONNECTED;50.629063,3.053711;2022-06-20T22:30:12+02:00
185;SAINTE HÉLÈNE;52 Rue sainte-héléne;SAINT ANDRE LEZ LILLE;EN SERVICE;SANS TPE;50.65722,3.056147;2;10;CONNECTED;50.65722,3.056147;2022-06-20T22:30:13+02:00
159;EURALILLE;66-188 ALL�E DE LI�GE;LILLE;EN SERVICE;AVEC TPE;50.637726,3.071892;40;0;CONNECTED;50.637726,3.071892;2022-06-20T22:30:13+02:00
46;ARTOIS;12 RUE D'ARTOIS;LILLE;EN SERVICE;AVEC TPE;50.62629,3.061198;12;6;CONNECTED;50.62629,3.061198;2022-06-20T22:30:13+02:00
186;MARCQ MAIRIE;29-1 Av du Mal de LATTRE de TASSIGNY;MARCQ EN BAROEUL;EN SERVICE;SANS TPE;50.672415,3.0924237;0;12;CONNECTED;50.672415,3.0924237;2022-06-20T22:30:13+02:00
175;RECHERCHE;977 RUE EUGENE AVINEE;LOOS;EN SERVICE;AVEC TPE;50.60301,3.038779;12;4;CONNECTED;50.60301,3.038779;2022-06-20T22:30:13+02:00
64;MAIRIE DE LILLE;17 RUE SAINT SAUVEUR;LILLE;EN SERVICE;AVEC TPE;50.6318,3.071392;20;0;CONNECTED;50.6318,3.071392;2022-06-20T22:30:13+02:00
232;FOSSE AUX CHENES;13, PLACE DE LA FOSSE AUX CHÊNES;ROUBAIX;EN SERVICE;AVEC TPE;50.699734,3.174347;9;5;CONNECTED;50.699734,3.174347;2022-06-20T22:30:14+02:00
216;FRATERNITE;PLACE DE LA FRATERNITÉ;ROUBAIX;EN SERVICE;AVEC TPE;50.681797,3.194122;7;9;CONNECTED;50.681797,3.194122;2022-06-20T22:30:14+02:00
68;NATIONALE RUE DU PORT;244 - 254 RUE NATIONALE;LILLE;EN SERVICE;AVEC TPE;50.630836,3.047778;6;18;CONNECTED;50.630836,3.047778;2022-06-20T22:30:13+02:00
243;VICTOIRE;FACE AU 1 PLACE DE LA VICTOIRE;TOURCOING;EN SERVICE;SANS TPE;50.718204,3.15749;6;6;CONNECTED;50.718204,3.15749;2022-06-20T22:30:14+02:00
230;DE LA VIGNE;181, BOULEVARD DE STRASBOURG;ROUBAIX;EN SERVICE;SANS TPE;50.70076,3.18407;4;7;CONNECTED;50.70076,3.18407;2022-06-20T22:30:14+02:00
146;SOLFERINO NATIONALE;FACE 171 RUE NATIONALE;LILLE;EN SERVICE;AVEC TPE;50.63268,3.052483;5;14;CONNECTED;50.63268,3.052483;2022-06-20T22:30:13+02:00
247;ROUGET DE L ISLE;SECTEUR BVRD DE L'EGALITÉ;TOURCOING;EN SERVICE;AVEC TPE;50.73418,3.1681724;9;6;CONNECTED;50.73418,3.1681724;2022-06-20T22:30:14+02:00
240;POSTE;22, RUE LÉON SALEMBIER;TOURCOING;EN SERVICE;AVEC TPE;50.71922,3.163396;7;5;CONNECTED;50.71922,3.163396;2022-06-20T22:30:14+02:00
153;POMPIDOU;FACE AU 102 ALLEE DU RIEZ;LA MADELEINE;EN SERVICE;AVEC TPE;50.65547,3.064989;12;12;CONNECTED;50.65547,3.064989;2022-06-20T22:30:13+02:00
260;PLACE ROUSSEL;45, PLACE CHARLES ET ALBERT ROUSSEL;TOURCOING;EN SERVICE;AVEC TPE;50.721308,3.158104;17;3;CONNECTED;50.721308,3.158104;2022-06-20T22:30:14+02:00
252;RUE DES POUTRAINS;RUE DE LILLE;TOURCOING;EN SERVICE;SANS TPE;50.72263,3.150377;9;7;CONNECTED;50.72263,3.150377;2022-06-20T22:30:14+02:00
162;ANGELLIER;3 RUE AUGUSTE ANGELLIER;LILLE;EN SERVICE;AVEC TPE;50.628544,3.065015;24;2;CONNECTED;50.628544,3.065015;2022-06-20T22:30:13+02:00
268;BLANCHEMAILLE;59-55 RUE DE BLANCHEMAILLE;ROUBAIX;EN SERVICE;SANS TPE;50.6967934,3.1684926;15;1;CONNECTED;50.6967934,3.1684926;2022-06-20T22:30:14+02:00
265;CROIX CENTRE;3 PLACE DE LA REPUBLIQUE;CROIX;EN SERVICE;SANS TPE;50.67441,3.14721;10;6;CONNECTED;50.67441,3.14721;2022-06-20T22:30:14+02:00
173;CHU - CENTRE OSCAR LAMBRET;AVENUE OSCAR LAMBRET;LILLE;EN SERVICE;AVEC TPE;50.61352,3.03677;20;0;CONNECTED;50.61352,3.03677;2022-06-20T22:30:13+02:00
299;TEST CYKLEO LILLE;4 rue du Professeur Langevin;LILLE;EN SERVICE;SANS TPE;50.6151322,3.0863797;1;0;CONNECTED;50.6151322,3.0863797;2022-06-20T22:30:14+02:00
85;CHANZY;58 RUE CHANZY;LILLE HELLEMMES;EN SERVICE;AVEC TPE;50.62504,3.1008;6;6;CONNECTED;50.62504,3.1008;2022-06-20T22:30:13+02:00
176;FACULTÉ DE MÉDECINE;Avenue Eugène Avinée;LOOS;EN SERVICE;AVEC TPE;50.604525,3.031224;15;1;CONNECTED;50.604525,3.031224;2022-06-20T22:30:13+02:00
40;METRO GAMBETTA;41 RUE DU MARCHE;LILLE;EN SERVICE;AVEC TPE;50.62614,3.051729;12;4;CONNECTED;50.62614,3.051729;2022-06-20T22:30:12+02:00
10;RIHOUR;ANGLE PLACE RIHOUR;LILLE;EN SERVICE;AVEC TPE;50.63589,3.062471;32;0;CONNECTED;50.63589,3.062471;2022-06-20T22:30:12+02:00
210;LINNE;192, AVENUE DE LINNÉ;ROUBAIX;EN SERVICE;SANS TPE;50.676884,3.187817;8;4;CONNECTED;50.676884,3.187817;2022-06-20T22:30:14+02:00
113;AVENUE DE MORMAL;16, RUE DU BUISSON;LILLE;EN SERVICE;SANS TPE;50.651337,3.08945;7;11;CONNECTED;50.651337,3.08945;2022-06-20T22:30:13+02:00
38;PLACE CASQUETTE;1 RUE D'HAUBOURDIN;LILLE;EN SERVICE;AVEC TPE;50.62429,3.045321;12;6;CONNECTED;50.62429,3.045321;2022-06-20T22:30:12+02:00
221;ROUBAIX MAIRIE;FACE AU 1, CONTOUR  SAINT MARTIN;ROUBAIX;EN SERVICE;AVEC TPE;50.69184,3.173925;18;12;CONNECTED;50.69184,3.173925;2022-06-20T22:30:14+02:00
264;REPUBLIQUE;203 RUE CARNOT;WATTRELOS;HORS SERVICE;AVEC TPE;50.697895,3.206297;0;0;DISCONNECTED;50.697895,3.206297;2019-07-10T19:48:05+02:00
96;ROMARIN;ALLEE VICTOR BASCH;LA MADELEINE;EN SERVICE;AVEC TPE;50.64543,3.075116;8;10;CONNECTED;50.64543,3.075116;2022-06-20T22:30:13+02:00
241;LE CORBUSIER;RUE DES PIATS;TOURCOING;EN SERVICE;SANS TPE;50.722343,3.170847;11;7;CONNECTED;50.722343,3.170847;2022-06-20T22:30:14+02:00
92;RUE DE LA GAITE;9 RUE MARCEAU;LILLE;HORS SERVICE;AVEC TPE;50.63665,3.091106;0;0;DISCONNECTED;50.63665,3.091106;2019-07-10T19:39:06+02:00
97;LA MADELEINE GARE;250 RUE GENERAL DE GAULLE;LA MADELEINE;EN SERVICE;SANS TPE;50.65937,3.074057;11;6;CONNECTED;50.65937,3.074057;2022-06-20T22:30:13+02:00
244;F ROOSEVELT;2-14 BOULEVARD DE L'ÉGALITÉ;TOURCOING;EN SERVICE;SANS TPE;50.727453,3.166828;6;6;CONNECTED;50.727453,3.166828;2022-06-20T22:30:14+02:00
262;WATTRELOS PLACE;2-10, D660;WATTRELOS;HORS SERVICE;AVEC TPE;50.701187,3.215011;1;0;DISCONNECTED;50.701187,3.215011;2019-07-10T19:48:05+02:00
